order_id,customer_id,product_id,quantity,amount,status,payment_method,city,created_at
ORD000601,CUST0021,PROD030,1,192224.14,completed,Credit Card,Chennai,2026-05-04 10:23:00
ORD000602,CUST0049,PROD020,1,77447.96,completed,UPI,Pune,2026-05-04 13:35:00
ORD000603,CUST0049,PROD009,2,176316.41,completed,UPI,Surat,2026-05-04 23:05:00
ORD000604,CUST0165,PROD020,1,158754.89,completed,Debit Card,Mumbai,2026-05-04 15:31:00
ORD000605,CUST0011,PROD026,1,157767.72,completed,EMI,Ahmedabad,2026-05-04 09:21:00
ORD000606,CUST0010,PROD048,1,185038.27,completed,UPI,Ahmedabad,2026-05-04 12:47:00
ORD000607,CUST0045,PROD041,1,26976.14,completed,Credit Card,Delhi,2026-05-04 09:15:00
ORD000608,CUST0028,PROD008,1,118617.05,completed,EMI,Chennai,2026-05-04 22:39:00
ORD000609,CUST0189,PROD044,1,68130.62,completed,UPI,Surat,2026-05-04 10:51:00
ORD000610,CUST0196,PROD003,2,317654.05,completed,Credit Card,Delhi,2026-05-04 12:20:00
ORD000611,CUST0179,PROD024,1,83615.13,completed,Debit Card,Chennai,2026-05-04 11:17:00
ORD000612,CUST0157,PROD025,1,169625.82,completed,UPI,Ahmedabad,2026-05-04 09:08:00
ORD000613,CUST0181,PROD042,1,185301.18,completed,Credit Card,Kolkata,2026-05-04 10:00:00
ORD000614,CUST0070,PROD034,1,29473.63,completed,Net Banking,Bangalore,2026-05-04 23:44:00
ORD000615,CUST0023,PROD041,1,100477.14,pending,Credit Card,Pune,2026-05-04 09:38:00
ORD000616,CUST0136,PROD007,1,39187.86,completed,EMI,Jaipur,2026-05-04 21:00:00
ORD000617,CUST0071,PROD004,1,132205.76,completed,Net Banking,Ahmedabad,2026-05-04 15:29:00
ORD000618,CUST0014,PROD042,1,184611.86,completed,Net Banking,Kolkata,2026-05-04 23:11:00
ORD000619,CUST0117,PROD003,1,178125.73,completed,UPI,Jaipur,2026-05-04 16:21:00
ORD000620,CUST0030,PROD005,1,97526.7,failed,Debit Card,Surat,2026-05-04 13:10:00
ORD000621,CUST0084,PROD015,1,135693.33,completed,Credit Card,Chennai,2026-05-04 18:26:00
ORD000622,CUST0097,PROD015,1,174107.24,completed,EMI,Ahmedabad,2026-05-04 11:15:00
ORD000623,CUST0157,PROD030,1,44016.08,completed,Credit Card,Bangalore,2026-05-04 09:56:00
ORD000624,CUST0070,PROD013,1,72358.81,completed,UPI,Surat,2026-05-04 22:46:00
ORD000625,CUST0118,PROD027,1,170478.47,completed,Credit Card,Chennai,2026-05-04 09:17:00
ORD000626,CUST0157,PROD011,1,159118.31,completed,EMI,Chennai,2026-05-04 17:38:00
ORD000627,CUST0056,PROD038,2,196705.91,completed,Debit Card,Hyderabad,2026-05-04 10:26:00
ORD000628,CUST0064,PROD021,1,174646.97,completed,Net Banking,Surat,2026-05-04 08:46:00
ORD000629,CUST0012,PROD003,1,2009.44,returned,EMI,Mumbai,2026-05-04 12:58:00
ORD000630,CUST0179,PROD007,1,162133.4,completed,Net Banking,Delhi,2026-05-04 21:33:00
ORD000631,CUST0034,PROD023,1,190036.8,completed,UPI,Mumbai,2026-05-04 08:44:00
ORD000632,CUST0147,PROD048,1,140957.3,completed,Debit Card,Ahmedabad,2026-05-04 23:42:00
ORD000633,CUST0095,PROD041,1,37803.39,completed,UPI,Delhi,2026-05-04 12:55:00
ORD000634,CUST0076,PROD028,1,106652.68,completed,EMI,Jaipur,2026-05-04 20:57:00
ORD000635,CUST0086,PROD048,1,124470.21,failed,EMI,Pune,2026-05-04 14:50:00
ORD000636,CUST0011,PROD024,1,93604.69,completed,EMI,Delhi,2026-05-04 09:07:00
ORD000637,CUST0030,PROD042,3,145461.44,completed,EMI,Chennai,2026-05-04 14:08:00
ORD000638,CUST0175,PROD028,1,54203.48,completed,UPI,Pune,2026-05-04 15:20:00
ORD000639,CUST0032,PROD031,1,105809.36,completed,EMI,Hyderabad,2026-05-04 19:28:00
ORD000640,CUST0178,PROD005,1,134987.66,completed,Debit Card,Delhi,2026-05-04 22:39:00
ORD000641,CUST0020,PROD007,2,116770.91,completed,UPI,Bangalore,2026-05-04 10:25:00
ORD000642,CUST0161,PROD002,2,209232.72,completed,EMI,Bangalore,2026-05-04 23:09:00
ORD000643,CUST0006,PROD019,1,147803.88,completed,UPI,Chennai,2026-05-04 23:22:00
ORD000644,CUST0084,PROD032,1,131496.0,completed,EMI,Jaipur,2026-05-04 18:26:00
ORD000645,CUST0079,PROD011,1,27258.03,pending,Net Banking,Ahmedabad,2026-05-04 22:29:00
ORD000646,CUST0091,PROD019,1,10415.52,completed,Net Banking,Surat,2026-05-04 19:18:00
ORD000647,CUST0045,PROD046,1,37273.0,completed,Net Banking,Bangalore,2026-05-04 13:45:00
ORD000648,CUST0033,PROD029,1,64007.86,completed,Net Banking,Chennai,2026-05-04 15:07:00
ORD000649,CUST0096,PROD029,1,69424.9,completed,Net Banking,Jaipur,2026-05-04 09:42:00
ORD000650,CUST0128,PROD050,2,163014.62,completed,Debit Card,Pune,2026-05-04 17:07:00
ORD000651,CUST0130,PROD022,3,329047.55,completed,Credit Card,Ahmedabad,2026-05-04 12:00:00
ORD000652,CUST0038,PROD037,3,345514.09,completed,Debit Card,Pune,2026-05-04 17:48:00
ORD000653,CUST0174,PROD036,1,8975.14,completed,UPI,Kolkata,2026-05-04 11:46:00
ORD000654,CUST0156,PROD042,1,65946.25,completed,EMI,Chennai,2026-05-04 15:28:00
ORD000655,CUST0115,PROD044,1,108143.58,completed,UPI,Jaipur,2026-05-04 16:12:00
ORD000656,CUST0131,PROD004,1,121030.81,failed,Credit Card,Kolkata,2026-05-04 20:12:00
ORD000657,CUST0096,PROD001,2,149111.47,completed,Credit Card,Hyderabad,2026-05-04 12:45:00
ORD000658,CUST0114,PROD048,1,43922.55,returned,Debit Card,Hyderabad,2026-05-04 22:55:00
ORD000659,CUST0187,PROD027,1,179646.9,completed,EMI,Surat,2026-05-04 13:51:00
ORD000660,CUST0135,PROD022,1,95447.49,completed,EMI,Kolkata,2026-05-04 10:09:00
ORD000661,CUST0107,PROD012,1,182967.6,completed,EMI,Bangalore,2026-05-04 10:00:00
ORD000662,CUST0126,PROD003,2,117204.92,pending,Credit Card,Surat,2026-05-04 14:11:00
ORD000663,CUST0007,PROD051,1,93226.38,completed,Credit Card,Hyderabad,2026-05-04 17:31:00
ORD000664,CUST0107,PROD012,1,178644.51,completed,Net Banking,Mumbai,2026-05-04 23:07:00
ORD000665,CUST0018,PROD039,1,198872.25,completed,EMI,Ahmedabad,2026-05-04 11:48:00
ORD000666,CUST0178,PROD008,1,137496.34,completed,EMI,Mumbai,2026-05-04 21:55:00
ORD000667,CUST0119,PROD045,1,30080.43,completed,Net Banking,Mumbai,2026-05-04 16:10:00
ORD000668,CUST0092,PROD004,1,182508.73,completed,EMI,Delhi,2026-05-04 16:23:00
ORD000669,CUST0154,PROD049,1,153172.95,completed,Credit Card,Pune,2026-05-04 14:49:00
ORD000670,CUST0025,PROD035,1,137980.67,completed,Net Banking,Mumbai,2026-05-04 17:17:00
ORD000671,CUST0106,PROD022,1,155982.54,failed,Net Banking,Delhi,2026-05-04 12:33:00
ORD000672,CUST0144,PROD040,1,166482.97,completed,EMI,Jaipur,2026-05-04 14:09:00
ORD000673,CUST0034,PROD002,1,16202.74,completed,Credit Card,Pune,2026-05-04 11:26:00
ORD000674,CUST0134,PROD049,1,197528.75,returned,Net Banking,Hyderabad,2026-05-04 12:52:00
ORD000675,CUST0178,PROD010,2,90496.87,completed,Credit Card,Bangalore,2026-05-04 08:47:00
ORD000676,CUST0196,PROD051,3,256606.9,completed,UPI,Ahmedabad,2026-05-04 14:08:00
ORD000677,CUST0169,PROD033,1,7524.78,completed,Debit Card,Delhi,2026-05-04 21:02:00
ORD000678,CUST0194,PROD007,1,133849.37,pending,EMI,Chennai,2026-05-04 16:02:00
ORD000679,CUST0038,PROD048,1,6821.59,failed,EMI,Pune,2026-05-04 14:11:00
ORD000680,CUST0157,PROD016,2,312758.81,completed,UPI,Delhi,2026-05-04 19:10:00
ORD000681,CUST0073,PROD011,1,39117.15,failed,EMI,Mumbai,2026-05-04 08:33:00
ORD000682,CUST0182,PROD031,1,101334.36,completed,EMI,Bangalore,2026-05-04 11:59:00
ORD000683,CUST0091,PROD025,3,110964.12,completed,EMI,Chennai,2026-05-04 22:43:00
ORD000684,CUST0120,PROD008,1,63541.09,completed,Debit Card,Pune,2026-05-04 21:07:00
ORD000685,CUST0127,PROD008,1,17366.42,completed,Debit Card,Surat,2026-05-04 17:35:00
ORD000686,CUST0142,PROD027,3,268039.99,completed,Debit Card,Chennai,2026-05-04 17:43:00
ORD000687,CUST0174,PROD024,2,191318.32,completed,Debit Card,Delhi,2026-05-04 10:57:00
ORD000688,CUST0031,PROD010,1,135626.89,completed,EMI,Delhi,2026-05-04 20:28:00
ORD000689,CUST0052,PROD039,1,40617.39,pending,Debit Card,Delhi,2026-05-04 13:04:00
ORD000690,CUST0196,PROD046,1,100322.41,completed,EMI,Hyderabad,2026-05-04 15:53:00
ORD000691,CUST0104,PROD032,1,121029.52,completed,Net Banking,Ahmedabad,2026-05-04 20:22:00
ORD000692,CUST0161,PROD009,1,99956.98,completed,UPI,Delhi,2026-05-04 11:07:00
ORD000693,CUST0155,PROD044,1,36639.22,completed,Credit Card,Surat,2026-05-04 23:43:00
ORD000694,CUST0197,PROD032,1,150570.09,pending,Net Banking,Hyderabad,2026-05-04 11:48:00
ORD000695,CUST0139,PROD035,1,108944.73,completed,UPI,Kolkata,2026-05-04 23:31:00
ORD000696,CUST0114,PROD030,1,170721.84,completed,Net Banking,Jaipur,2026-05-04 11:24:00
ORD000697,CUST0035,PROD020,1,98803.93,completed,Debit Card,Delhi,2026-05-04 17:56:00
ORD000698,CUST0121,PROD031,1,108338.62,completed,Net Banking,Jaipur,2026-05-04 23:42:00
ORD000699,CUST0097,PROD040,1,118617.57,completed,Credit Card,Pune,2026-05-04 09:25:00
ORD000700,CUST0094,PROD023,1,26510.54,pending,EMI,Mumbai,2026-05-04 09:01:00
ORD000701,CUST0092,PROD027,1,69682.81,completed,Net Banking,Chennai,2026-05-04 18:24:00
ORD000702,CUST0177,PROD005,1,17902.49,pending,UPI,Pune,2026-05-04 15:41:00
ORD000703,CUST0169,PROD028,1,8437.18,completed,Debit Card,Hyderabad,2026-05-04 13:01:00
ORD000704,CUST0082,PROD025,1,5424.08,completed,Credit Card,Surat,2026-05-04 08:44:00
ORD000705,CUST0053,PROD022,1,138481.62,completed,Credit Card,Bangalore,2026-05-04 11:51:00
ORD000706,CUST0163,PROD051,3,123447.51,completed,EMI,Chennai,2026-05-04 17:23:00
ORD000707,CUST0103,PROD015,1,199249.31,completed,UPI,Surat,2026-05-04 17:16:00
ORD000708,CUST0136,PROD031,1,14385.75,completed,Credit Card,Delhi,2026-05-04 11:37:00
ORD000709,CUST0139,PROD021,2,174297.24,completed,Debit Card,Hyderabad,2026-05-04 17:32:00
ORD000710,CUST0005,PROD041,1,36938.75,completed,Net Banking,Surat,2026-05-04 22:42:00
ORD000711,CUST0120,PROD018,1,164957.52,failed,EMI,Surat,2026-05-04 23:13:00
ORD000712,CUST0134,PROD013,1,125724.56,completed,Net Banking,Chennai,2026-05-04 21:59:00
ORD000713,CUST0112,PROD027,1,60754.16,completed,UPI,Chennai,2026-05-04 12:47:00
ORD000714,CUST0066,PROD044,2,259124.27,completed,Debit Card,Chennai,2026-05-04 21:17:00
ORD000715,CUST0080,PROD030,1,49870.98,completed,Debit Card,Kolkata,2026-05-04 11:09:00
ORD000716,CUST0067,PROD051,1,28148.83,pending,EMI,Bangalore,2026-05-04 09:12:00
ORD000717,CUST0022,PROD021,1,4960.86,completed,UPI,Kolkata,2026-05-04 09:46:00
ORD000718,CUST0186,PROD009,1,18970.04,completed,EMI,Jaipur,2026-05-04 19:42:00
ORD000719,CUST0199,PROD034,1,116503.11,completed,UPI,Chennai,2026-05-04 11:33:00
ORD000720,CUST0150,PROD048,2,133054.45,completed,Net Banking,Kolkata,2026-05-04 11:49:00
ORD000721,CUST0071,PROD029,1,43606.83,completed,EMI,Mumbai,2026-05-04 14:09:00
ORD000722,CUST0082,PROD035,1,189793.42,completed,Net Banking,Hyderabad,2026-05-04 23:34:00
ORD000723,CUST0079,PROD002,1,74179.49,completed,EMI,Mumbai,2026-05-04 12:23:00
ORD000724,CUST0065,PROD036,2,269295.58,completed,Credit Card,Delhi,2026-05-04 09:44:00
ORD000725,CUST0101,PROD017,1,2564.36,completed,Net Banking,Hyderabad,2026-05-04 15:54:00
ORD000726,CUST0162,PROD021,2,366524.37,pending,Debit Card,Mumbai,2026-05-04 14:55:00
ORD000727,CUST0126,PROD031,1,156111.66,completed,Credit Card,Kolkata,2026-05-04 16:55:00
ORD000728,CUST0017,PROD023,1,52932.31,completed,EMI,Pune,2026-05-04 11:52:00
ORD000729,CUST0165,PROD012,1,11366.72,completed,Net Banking,Mumbai,2026-05-04 22:44:00
ORD000730,CUST0022,PROD008,1,63429.95,completed,EMI,Bangalore,2026-05-04 20:12:00
ORD000731,CUST0189,PROD009,2,181691.88,completed,EMI,Pune,2026-05-04 21:50:00
ORD000732,CUST0101,PROD025,1,74151.68,failed,EMI,Chennai,2026-05-04 17:12:00
ORD000733,CUST0161,PROD015,2,259547.76,failed,Debit Card,Chennai,2026-05-04 08:01:00
ORD000734,CUST0159,PROD028,2,21811.72,completed,Net Banking,Delhi,2026-05-04 16:44:00
ORD000735,CUST0184,PROD034,2,48703.74,completed,Debit Card,Ahmedabad,2026-05-04 19:10:00
ORD000736,CUST0069,PROD019,1,38917.48,completed,Debit Card,Bangalore,2026-05-04 11:14:00
ORD000737,CUST0073,PROD047,1,43896.97,completed,Debit Card,Bangalore,2026-05-04 21:54:00
ORD000738,CUST0068,PROD016,1,58747.69,completed,Net Banking,Pune,2026-05-04 21:50:00
ORD000739,CUST0083,PROD045,1,27506.92,completed,Net Banking,Kolkata,2026-05-04 22:05:00
ORD000740,CUST0143,PROD004,1,15537.14,completed,Net Banking,Ahmedabad,2026-05-04 21:47:00
ORD000741,CUST0154,PROD046,2,386949.45,completed,UPI,Mumbai,2026-05-04 19:38:00
ORD000742,CUST0102,PROD043,1,61198.27,completed,EMI,Mumbai,2026-05-04 16:32:00
ORD000743,CUST0087,PROD030,1,99074.62,completed,Credit Card,Jaipur,2026-05-04 13:16:00
ORD000744,CUST0033,PROD032,1,63339.97,pending,Credit Card,Pune,2026-05-04 21:09:00
ORD000745,CUST0195,PROD017,2,106758.65,completed,Debit Card,Bangalore,2026-05-04 21:18:00
ORD000746,CUST0039,PROD036,3,458913.51,pending,Debit Card,Mumbai,2026-05-04 18:47:00
ORD000747,CUST0121,PROD017,1,37444.31,completed,Debit Card,Kolkata,2026-05-04 14:09:00
ORD000748,CUST0092,PROD046,2,18233.18,completed,Debit Card,Ahmedabad,2026-05-04 11:57:00
ORD000749,CUST0090,PROD006,1,30461.84,completed,Credit Card,Bangalore,2026-05-04 11:54:00
ORD000750,CUST0170,PROD038,1,55284.79,completed,UPI,Jaipur,2026-05-04 13:47:00
ORD000751,CUST0128,PROD044,2,99969.15,completed,Credit Card,Mumbai,2026-05-04 13:26:00
ORD000752,CUST0096,PROD038,3,75825.96,failed,UPI,Pune,2026-05-04 17:43:00
ORD000753,CUST0169,PROD031,1,166308.98,completed,Credit Card,Surat,2026-05-04 12:01:00
ORD000754,CUST0116,PROD021,3,394734.1,failed,EMI,Bangalore,2026-05-04 08:21:00
ORD000755,CUST0083,PROD004,1,129084.81,completed,EMI,Surat,2026-05-04 14:55:00
ORD000756,CUST0198,PROD026,1,36423.33,completed,Net Banking,Bangalore,2026-05-04 20:05:00
ORD000757,CUST0168,PROD010,1,129786.08,completed,Debit Card,Kolkata,2026-05-04 20:49:00
ORD000758,CUST0171,PROD007,1,27125.18,pending,EMI,Chennai,2026-05-04 17:57:00
ORD000759,CUST0145,PROD039,2,191621.95,completed,Debit Card,Pune,2026-05-04 23:28:00
ORD000760,CUST0132,PROD022,1,19495.64,returned,Net Banking,Bangalore,2026-05-04 13:27:00
ORD000761,CUST0075,PROD030,1,105410.4,completed,Debit Card,Hyderabad,2026-05-04 23:33:00
ORD000762,CUST0064,PROD034,1,60780.62,completed,EMI,Mumbai,2026-05-04 12:08:00
ORD000763,CUST0109,PROD027,1,22417.91,completed,EMI,Hyderabad,2026-05-04 10:58:00
ORD000764,CUST0005,PROD008,1,153960.48,completed,Debit Card,Bangalore,2026-05-04 19:16:00
ORD000765,CUST0181,PROD020,1,17573.91,completed,Debit Card,Ahmedabad,2026-05-04 13:53:00
ORD000766,CUST0048,PROD014,3,523192.47,completed,EMI,Hyderabad,2026-05-04 16:21:00
ORD000767,CUST0030,PROD001,1,2162.57,completed,Debit Card,Ahmedabad,2026-05-04 11:27:00
ORD000768,CUST0186,PROD032,1,149104.86,completed,EMI,Pune,2026-05-04 20:55:00
ORD000769,CUST0004,PROD013,1,25891.93,completed,UPI,Chennai,2026-05-04 20:51:00
ORD000770,CUST0062,PROD028,1,29884.83,pending,EMI,Chennai,2026-05-04 08:13:00
ORD000771,CUST0109,PROD002,1,30484.11,completed,Net Banking,Ahmedabad,2026-05-04 10:19:00
ORD000772,CUST0063,PROD013,1,90453.19,completed,Debit Card,Mumbai,2026-05-04 23:30:00
ORD000773,CUST0111,PROD027,1,169678.12,pending,EMI,Surat,2026-05-04 18:00:00
ORD000774,CUST0152,PROD047,1,97733.58,completed,Debit Card,Chennai,2026-05-04 17:02:00
ORD000775,CUST0142,PROD005,1,115703.84,completed,Debit Card,Ahmedabad,2026-05-04 09:33:00
ORD000776,CUST0115,PROD045,1,129589.43,completed,Net Banking,Hyderabad,2026-05-04 11:31:00
ORD000777,CUST0057,PROD038,1,47187.75,failed,Credit Card,Surat,2026-05-04 14:30:00
ORD000778,CUST0100,PROD027,2,289751.46,pending,Credit Card,Ahmedabad,2026-05-04 22:08:00
ORD000779,CUST0023,PROD043,1,138448.5,completed,Net Banking,Chennai,2026-05-04 13:39:00
ORD000780,CUST0127,PROD020,1,158902.8,completed,EMI,Mumbai,2026-05-04 13:38:00
ORD000781,CUST0041,PROD012,2,144102.18,pending,EMI,Mumbai,2026-05-04 08:22:00
ORD000782,CUST0031,PROD036,1,123894.64,completed,Credit Card,Pune,2026-05-04 10:21:00
ORD000783,CUST0069,PROD010,1,175664.89,pending,EMI,Surat,2026-05-04 19:49:00
ORD000784,CUST0118,PROD049,1,189307.22,completed,UPI,Surat,2026-05-04 11:45:00
ORD000785,CUST0043,PROD041,1,101953.35,completed,Net Banking,Pune,2026-05-04 11:52:00
ORD000786,CUST0130,PROD032,1,88861.51,completed,UPI,Bangalore,2026-05-04 13:46:00
ORD000787,CUST0052,PROD029,2,50945.67,returned,UPI,Chennai,2026-05-04 19:21:00
